"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"result";"principal";"context";"entries";"component";"realm"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23542";"2023-06-11T22:35:25.835Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23536";;"[""66f56dc1f460e81801""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23556";"2023-06-11T22:35:25.843Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23536";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23664";"2023-06-11T22:35:43.970Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23660";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""6d2ef2499a4385af01""]";"SUCCESSFUL";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23670";"2023-06-11T22:35:43.973Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23660";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""6d2ef2499a4385af01""]";"SUCCESSFUL";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28720";"2023-06-11T22:51:11.450Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28714";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"[""a56f4058e47c22fb01""]";"SUCCESSFUL";"[""jacobo""]";;"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28748";"2023-06-11T22:51:11.462Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28714";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""jacobo""]";;"[{""moduleId"":""DataStore"",""info"":{""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"e904108e-4ab7-4e31-bdd2-169ab5177626-191";"2023-06-11T23:16:41.352Z";"AM-LOGIN-MODULE-COMPLETED";"e904108e-4ab7-4e31-bdd2-169ab5177626-0";;"[""337859d63391e4a301""]";"SUCCESSFUL";"[""cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"e904108e-4ab7-4e31-bdd2-169ab5177626-201";"2023-06-11T23:16:41.405Z";"AM-LOGIN-COMPLETED";"e904108e-4ab7-4e31-bdd2-169ab5177626-0";"cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org";"[""337859d63391e4a301""]";"SUCCESSFUL";"[""dsameuser""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-191";"2023-06-11T23:25:24.380Z";"AM-LOGIN-MODULE-COMPLETED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-0";;"[""acb1a9166936bef201""]";"SUCCESSFUL";"[""cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-201";"2023-06-11T23:25:24.428Z";"AM-LOGIN-COMPLETED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-0";"cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org";"[""acb1a9166936bef201""]";"SUCCESSFUL";"[""dsameuser""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
