"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"runAs";"objectId";"operation";"before";"after";"changedFields";"revision";"component";"realm"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28535";"2023-06-11T22:50:35.045Z";"AM-IDREPO-CHANGE";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28527";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";"{}";"{""iplanet-am-user-alias-list"":[""plain-client openid profile email""]}";;;;"o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28738";"2023-06-11T22:51:11.457Z";"AM-SESSION-CREATED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-28714";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"[""a56f4058e47c22fb01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"a56f4058e47c22fb01";"CREATE";;;;;"Session";"/users"
"e904108e-4ab7-4e31-bdd2-169ab5177626-171";"2023-06-11T23:16:41.153Z";"AM-SESSION-EVENT_URL_ADDED";"e904108e-4ab7-4e31-bdd2-169ab5177626-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""8c87a9cc814b7b001""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"8c87a9cc814b7b001";"UPDATE";;;;;"Session";"/"
"e904108e-4ab7-4e31-bdd2-169ab5177626-193";"2023-06-11T23:16:41.392Z";"AM-SESSION-CREATED";"e904108e-4ab7-4e31-bdd2-169ab5177626-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""337859d63391e4a301""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"337859d63391e4a301";"CREATE";;;;;"Session";"/"
"e904108e-4ab7-4e31-bdd2-169ab5177626-215";"2023-06-11T23:16:41.445Z";"AM-SESSION-EVENT_URL_ADDED";"e904108e-4ab7-4e31-bdd2-169ab5177626-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""337859d63391e4a301""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"337859d63391e4a301";"UPDATE";;;;;"Session";"/"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-171";"2023-06-11T23:25:24.150Z";"AM-SESSION-EVENT_URL_ADDED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""23c14a39e07cd2d201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"23c14a39e07cd2d201";"UPDATE";;;;;"Session";"/"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-193";"2023-06-11T23:25:24.421Z";"AM-SESSION-CREATED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""acb1a9166936bef201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"acb1a9166936bef201";"CREATE";;;;;"Session";"/"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-212";"2023-06-11T23:25:24.454Z";"AM-SESSION-EVENT_URL_ADDED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""acb1a9166936bef201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"acb1a9166936bef201";"UPDATE";;;;;"Session";"/"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-281";"2023-06-11T23:25:45.878Z";"AM-IDREPO-CHANGE";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-265";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";"{}";"{""iplanet-am-user-alias-list"":[""plain-client openid profile email""]}";;;;"o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-417";"2023-06-11T23:26:22.032Z";"AM-SESSION-IDLE_TIMED_OUT";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-0";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""6d2ef2499a4385af01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"6d2ef2499a4385af01";"DELETE";;;;;"Session";"/"
