time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-06-11 21:20:43.420 UTC, , , , , , , , , ,125,2128429,31152, , ,4,1,60,4,0.07, , , , , , , ,4,4, ,2,1,3,2,5, ,54,23, , , , , , , , , , , , , ,53875,4, ,45814, , , , ,53923,13764919296,44,44,44,44, , , , , ,7,455, , , , , , , , , , , , , , , , , , , , , , , , , ,53923,1686518443401,,, , , , , , , , , ,2097150,53875, , , , , , ,34, , ,2, , ,3, , ,34, ,2048,1, , , ,1, ,211540,58, , , , , , ,4,536,16,383,4443982192, , , , , , , ,42, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-11 21:20:43.599 UTC, , , , , , , , , ,589,2275909,178168, , ,11, ,660,2,0.00, , , , , , , ,11,11, , , ,3,8,11, ,378,119, , , , , , , , , , , , , ,53875,4, ,45814, , , , ,53923,13764919296,44,44,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53923,1686518443401,,, , , , , , , , , ,2097150,90362,9,9,7,9, , ,133, , ,4, , ,3,6, ,133,1, , , , , , , ,49040,136,36538,62, , , , , , , , ,4469148016, , , , , , , ,1049, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,63, ,10,71,35,71, , , , , , , , , 
2023-06-11 21:20:43.893 UTC, , , , , , , , , ,125,3177405,31552, , ,4, ,45,4,0.09, , , , , , , ,4,4, ,2, ,3,2,5, ,51,29, , , , , , , , , , , , , ,96871,5, ,90578, , , , ,96923,13764820992,27,27,27,27, , , , , ,1,852, , , , , , , , , , , , , , , , , , , , , , , , , ,96923,1686518443847,,, , , , , , , , , ,3145728,96871, , , , , , ,39, , ,2, , ,3, , ,39, ,4096,1, , , ,1, ,21024136,51, , , , , , ,4,536,17,401,320985728, , , , , , , ,27, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-11 21:21:43.894 UTC, , , , , , , , , ,6749,5200717,2041520,6720, ,58, ,30197,9,0.00, , , , , , , ,58,27, , , ,24,37,24, ,5633,119, , , , , , , , , , , , , ,96871,5, ,90578, , , , ,2679277,13745152000,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2679277,1686518443847,,, , , , , , , , , ,3145728,2679247,14,14,14,14, , ,137, , ,3,627, ,3,1, ,137,1,382,2,558,2, ,1, ,103438,139,2581796,625, , , , , , , , ,2621561472, , , , , , , ,29340, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,3243, ,99,16046,5840,4893, , , , , , , , , 
2023-06-11 21:22:43.896 UTC, , , , , , , , , ,6749,5204485,2045288,6720, ,58, ,304, , , , , , , , , ,58,27, , , ,24,37,23, ,94, , , , , , , , , , , , , , ,96871,5, ,90578, , , , ,2687245,13748428800,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2687245,1686518443847,,, , , , , , , , , ,3145728,2687215,7,7,7,7, , , , , , ,3, ,3,1, , ,1, , , , , , , , , ,7968,3, , , , , , , , ,2822888064, , , , , , , ,235, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,16, ,4,197,82,8, , , , , , , , , 
2023-06-11 21:23:43.897 UTC, , , , , , , , , ,7629,5237437,2077360,6720, ,61, ,3064, , , , , , , , , ,61,27, , , ,26,40,23, ,792, , , , , , , , , , , , , , ,96871,5, ,90578, , , , ,2687245,13736439808,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2687245,1686518443847,,, , , , , , , , , ,3145728,2811323, , , , , , , , , , ,59, ,3, , , ,1, , , , , , , , , ,124108,59, , , , , , , , ,3202472576, , , , , , , ,2948,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,228, ,22,1832,560,429, , , , , , , , , 
2023-06-11 21:24:43.898 UTC, , , , , , , , , ,8069,5268301,2107784,6720, ,65, ,2413, , , , , , , , , ,65,29, , , ,26,42,25, ,514,1, , , , , , , , , , , , , ,96871,5, ,90578, , , , ,2890081,13743251456,64,64,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2890081,1686518443847,,, , , , , , , , , ,3145728,2890051,8,8,4,8, , ,1, , , ,24, ,3,4, ,1,1,223,1,2995,1, , , , , ,75733,23, , , , , , , , ,3967933056, , , , , , , ,2267, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, ,237, ,16,1282,508,354, , , , , , , , , 
2023-06-11 21:25:43.900 UTC, , , , , , , , , ,8069,5268301,2107784,6720, ,65, ,44, , , , , , , , , ,65,29, , , ,26,42,25, ,32, , , , , , , , , , , , , , ,96871,5, ,90578, , , , ,2890081,13739962368,64,64,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2890081,1686518443847,,, , , , , , , , , ,3145728,2890051, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,4108442240, , , , , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,4, , , , , , , , , , 
2023-06-11 21:26:43.901 UTC, , , , , , , , , ,8069,5268301,2107784,6720, ,65, ,164, , , , , , , , , ,65,29, , , ,26,42,25, ,62, , , , , , , , , , , , , , ,96871,5, ,90578, , , , ,2901320,13730287616,64,64,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2901320,1686518443847,,, , , , , , , , , ,3145728,2901290,8,8,7,8, , , , , , ,4, ,3,2, , ,1, , , , , , , , , ,11239,4, , , , , , ,1,37,410518248, , , , , , , ,149, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,7, ,3,107,23,6, , , , , , , , , 
2023-06-11 21:27:43.902 UTC, , , , , , , , , ,8069,5268301,2107784,6720, ,65, ,111, , , , , , , , , ,65,29, , , ,26,42,25, ,66, , , , , , , , , , , , , , ,96871,5, ,90578, , , , ,2906942,13740167168,63,63,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2906942,1686518443847,,, , , , , , , , , ,3145728,2906912,7,7,7,7, , , , , , ,2, ,3,1, , ,1, , , , , , , , , ,5622,2, , , , , , , , ,498598632, , , , , , , ,103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,96,13,2, , , , , , , , , 
